00	Cooking and Recipes|Content Moderation and Safety|Crafts and Making|Weather And Climate Services|Consumer Electronics Hardware
01	Career Guidance and Mentorship|Construction and Civil Engineering|Waste Management Recycling|Cybersecurity|Social Media
02	Smart Home|Journaling and Note Taking|Travel And Hospitality|Home Organization and Cleaning|Document Scanning and Ocr
03	Field Service Management|Human Resources Recruiting|Real Estate|Procurement and Vendor Management|Calendar Management
04	Construction And Infrastructure|Education Elearning|Public Sector And Government|Water And Sanitation|Grants and Philanthropy
05	Sports And Fitness|Libraries and Archives|Rag Systems|Software Apps|Mining And Metals
06	Academic Publishing and Citations|Nonprofit And Philanthropy|Personal Style and Grooming|Negotiation and Mediation|Telecommunications Networks
07	Security and Iam Identity and Access Management|Private Banking|Transportation Logistics|Energy And Utilities|Event Planning and Management
08	Ecommerce And Retail|Mining and Resources|Food And Beverage|Aerospace And Defense|Manufacturing Industrial IoT Robot Control
09	Accounting and Taxation|Insurance|Membership and Subscriptions|Marketing|Legal Services
10	Semiconductors|Media And Entertainment|Genealogy and Family History|Healthcare Medical|Financial Trading
11	Investment Banking|File Systems|Research And Development|Food and Beverage Services|Communication Skills and Coaching
12	Databases|Chemicals And Materials|Sales and Crm|Biotechnology Pharmaceuticals|Photography and Imaging Services
13	Data Annotation and Labeling|Defense and Military|Anti Fraud and Risk Scoring|Arts And Culture|Health and Wellness
14	Digital Signature and Certificates|Agriculture Environmental|Emergency Response and Public Safety|Media Rights and Licensing|Insurance and Risk Services
15	Artificial Intelligence Generated Content|Human Resources and Talent|Customer Support|Cryptocurrency Blockchain|Entertainment and Media
16	Games and Gamification|Device Repair and Troubleshooting|Parenting and Childcare|Location Services|Facilities Management
17	Developer Tools|Accessibility and Inclusion|Real Estate Property|Appraisals and Valuations|Payments and Invoicing
18	Cloud Platforms|Open Data and Statistics|Loyalty and Rewards|Biotechnology and Pharmaceuticals|Online Shopping
19	Credit and Lending Services|Browser Automation|Art and Culture|Metrology and Calibration|App Automation
